Entity;Code;Year;Per capita energy consumption;GDP per capita;World region according to OWID
Malta;MLT;2023;71107.69;57488.105;Europe
Marshall Islands;MHL;2023;;6801.6147;Oceania
Martinique;MTQ;2023;0;;North America
Mauritania;MRT;2023;4142.4756;6276.475;Africa
Mauritius;MUS;2023;17639.248;26635.012;Africa
Mexico;MEX;2023;17682.662;21917.248;North America
Micronesia (country);FSM;2023;4428.093;3814.7202;Oceania
Moldova;MDA;2023;11903.726;15990.4795;Europe
Mongolia;MNG;2023;19674.547;16222.864;Asia
Montenegro;MNE;2023;18582.63;25922.184;Europe
Montserrat;MSR;2023;24283.598;;North America
Morocco;MAR;2023;7189.8057;8915.352;Africa
Mozambique;MOZ;2023;1696.6578;1512.2764;Africa
Myanmar;MMR;2023;2457.1128;5364.138;Asia
Namibia;NAM;2023;6369.585;10137.673;Africa
Nauru;NRU;2023;29242.105;12372.5205;Oceania
Nepal;NPL;2023;1935.3121;4861.2305;Asia
Netherlands;NLD;2023;51949.645;70198.93;Europe
New Caledonia;NCL;2023;63832.758;;Oceania
New Zealand;NZL;2023;46344.71;49508.27;Oceania
Nicaragua;NIC;2023;3124.2483;7496.5293;North America
Niger;NER;2023;519.35846;1689.5642;Africa
Nigeria;NGA;2023;2342.6387;7843.8345;Africa
Niue;NIU;2023;19803.477;;Oceania
North Korea;PRK;2023;6983.9766;;Asia
North Macedonia;MKD;2023;17752.902;22317.725;Europe
Northern Mariana Islands;MNP;2023;0;;Oceania
Norway;NOR;2023;99923.81;90085.44;Europe
Oman;OMN;2023;86222.51;37793.617;Asia
Pakistan;PAK;2023;3653.4338;5418.7695;Asia
Palau;PLW;2023;;16425.973;Oceania
Palestine;PSE;2023;4393.3086;5361.131;Asia
Panama;PAN;2023;22862.531;35872.95;North America
Papua New Guinea;PNG;2023;2573.4968;4205.8477;Oceania
Paraguay;PRY;2023;7541.671;15826.088;South America
Peru;PER;2023;10143.117;15327.582;South America
Philippines;PHL;2023;5298.6777;9898.533;Asia
Poland;POL;2023;29225.926;43672.766;Europe
Portugal;PRT;2023;25498.7;41768.254;Europe
Puerto Rico;PRI;2023;25288.041;42837.9;North America
Qatar;QAT;2023;208038.81;116563.99;Asia
Reunion;REU;2023;0;;Africa
Romania;ROU;2023;18796.941;38171.207;Europe
Russia;RUS;2023;60237.03;39887.34;Europe
Rwanda;RWA;2023;529.7918;3062.999;Africa
Saint Helena;SHN;2023;9813.147;;Africa
Saint Kitts and Nevis;KNA;2023;23859.037;30616.578;North America
Saint Lucia;LCA;2023;13926.932;23403.744;North America
Saint Pierre and Miquelon;SPM;2023;43661.79;;North America
Saint Vincent and the Grenadines;VCT;2023;10916.865;17858.244;North America
Samoa;WSM;2023;6879.8896;7383.7456;Oceania
San Marino;SMR;2023;;70951.79;Europe
Sao Tome and Principe;STP;2023;2600.9995;5541.302;Africa
Saudi Arabia;SAU;2023;96221.54;64481.844;Asia
Senegal;SEN;2023;2433.2778;4304.7617;Africa
Serbia;SRB;2023;26332.174;24487.047;Europe
Seychelles;SYC;2023;28967.066;28635.355;Africa
Sierra Leone;SLE;2023;674.46545;3034.946;Africa
Singapore;SGP;2023;171241.08;129555.24;Asia
Sint Maarten (Dutch part);SXM;2023;;46571.09;North America
Slovakia;SVK;2023;33405.19;39518.223;Europe
